filename,num_points,peak_value,R0_posQuantscale,R0_num_points,R0_bytes,R0_bpp,R0_mseF      (p2point),"R0_mseF,PSNR (p2point)",R1_posQuantscale,R1_num_points,R1_bytes,R1_bpp,R1_mseF      (p2point),"R1_mseF,PSNR (p2point)",R2_posQuantscale,R2_num_points,R2_bytes,R2_bpp,R2_mseF      (p2point),"R2_mseF,PSNR (p2point)",R3_posQuantscale,R3_num_points,R3_bytes,R3_bpp,R3_mseF      (p2point),"R3_mseF,PSNR (p2point)",R4_posQuantscale,R4_num_points,R4_bytes,R4_bpp,R4_mseF      (p2point),"R4_mseF,PSNR (p2point)",R5_posQuantscale,R5_num_points,R5_bytes,R5_bpp,R5_mseF      (p2point),"R5_mseF,PSNR (p2point)",R6_posQuantscale,R6_num_points,R6_bytes,R6_bpp,R6_mseF      (p2point),"R6_mseF,PSNR (p2point)",R7_posQuantscale,R7_num_points,R7_bytes,R7_bpp,R7_mseF      (p2point),"R7_mseF,PSNR (p2point)",R8_posQuantscale,R8_num_points,R8_bytes,R8_bpp,R8_mseF      (p2point),"R8_mseF,PSNR (p2point)",R9_posQuantscale,R9_num_points,R9_bytes,R9_bpp,R9_mseF      (p2point),"R9_mseF,PSNR (p2point)"
../dataset/KITTI/dataset/sequences/11/velodyne/000000.bin,127405,100388,1.0,127405,310193,19.4776,0.0,inf,0.5,127405,261322,16.4089,1.50018,92.5522,0.25,127405,213058,13.3783,4.50245,87.7792,0.125,127324,165955,10.4206,16.5066,82.1371,0.0625,125123,120674,7.5773,64.5792,76.2127,0.03125,108482,77398,4.86,256.433,70.2239,0.015625,76345,41752,2.6217,1021.59,64.2209,0.0078125,42484,17934,1.1261,4098.48,58.1874,0.00390625,18777,6720,0.422,16745.0,52.0748,0.001953125,6980,2345,0.1472,62943.3,46.3242
../dataset/KITTI/dataset/sequences/11/velodyne/000001.bin,127351,104632,1.0,127351,309836,19.4634,0.0,inf,0.5,127351,260986,16.3948,1.50347,92.5427,0.25,127351,212599,13.3552,4.50446,87.7772,0.125,127277,165558,10.4001,16.4249,82.1586,0.0625,125079,120191,7.5502,64.3652,76.2271,0.03125,108282,77356,4.8594,257.66,70.2032,0.015625,76351,41843,2.6285,1020.19,64.2268,0.0078125,42327,17892,1.1239,4114.81,58.1701,0.00390625,18527,6633,0.4167,16422.7,52.1592,0.001953125,7055,2330,0.1464,65082.1,46.179
../dataset/KITTI/dataset/sequences/11/velodyne/000002.bin,127279,102819,1.0,127279,309522,19.4547,0.0,inf,0.5,127279,260847,16.3953,1.49813,92.5581,0.25,127279,212428,13.352,4.50174,87.7798,0.125,127192,165560,10.4061,16.5064,82.1371,0.0625,124840,120254,7.5585,64.3382,76.229,0.03125,108030,77071,4.8442,255.725,70.2359,0.015625,76161,41830,2.6292,1024.19,64.2098,0.0078125,42240,17954,1.1285,4100.8,58.1849,0.00390625,18514,6688,0.4204,16168.3,52.227,0.001953125,7043,2373,0.1492,67705.2,46.0074
../dataset/KITTI/dataset/sequences/11/velodyne/000003.bin,127118,98268,1.0,127118,309319,19.4666,0.0,inf,0.5,127118,260568,16.3985,1.49809,92.5583,0.25,127118,212302,13.3609,4.49546,87.7859,0.125,127036,165457,10.4128,16.5178,82.1341,0.0625,124660,120096,7.5581,64.5466,76.2149,0.03125,107453,76672,4.8252,256.841,70.217,0.015625,75856,41633,2.6201,1022.92,64.2152,0.0078125,41987,17710,1.1146,4111.29,58.1739,0.00390625,18448,6608,0.4159,16487.3,52.1422,0.001953125,6939,2305,0.1451,68110.0,45.9815
../dataset/KITTI/dataset/sequences/11/velodyne/000004.bin,126955,97483,1.0,126955,308489,19.4393,0.0,inf,0.5,126955,260036,16.386,1.5036,92.5423,0.25,126955,211647,13.3368,4.50564,87.7761,0.125,126863,164744,10.3813,16.4718,82.1462,0.0625,124437,119452,7.5272,64.5169,76.2169,0.03125,107030,76492,4.8201,255.559,70.2387,0.015625,75363,41385,2.6079,1028.42,64.192,0.0078125,41527,17736,1.1176,4091.51,58.1948,0.00390625,18195,6511,0.4103,16225.3,52.2117,0.001953125,6894,2277,0.1435,67842.0,45.9986
../dataset/KITTI/dataset/sequences/11/velodyne/000005.bin,126865,96891,1.0,126865,307993,19.4218,0.0,inf,0.5,126865,259287,16.3504,1.50164,92.548,0.25,126865,211133,13.3139,4.48796,87.7932,0.125,126765,164546,10.3761,16.4952,82.1401,0.0625,124237,119032,7.5061,64.6414,76.2085,0.03125,106664,75940,4.7887,256.376,70.2249,0.015625,74760,41008,2.5859,1028.99,64.1895,0.0078125,41081,17405,1.0975,4030.7,58.2598,0.00390625,18075,6351,0.4005,16411.0,52.1623,0.001953125,6764,2274,0.1434,65100.7,46.1778
../dataset/KITTI/dataset/sequences/11/velodyne/000006.bin,126669,96157,1.0,126669,307531,19.4227,0.0,inf,0.5,126669,258958,16.3549,1.49978,92.5534,0.25,126669,210808,13.3139,4.49802,87.7834,0.125,126574,164377,10.3815,16.4843,82.1429,0.0625,123991,119248,7.5313,64.6514,76.2079,0.03125,106428,75503,4.7685,255.931,70.2324,0.015625,74479,40839,2.5793,1027.71,64.1949,0.0078125,41160,17398,1.0988,4136.4,58.1474,0.00390625,17973,6416,0.4052,16747.9,52.074,0.001953125,6677,2228,0.1407,63568.1,46.2812
../dataset/KITTI/dataset/sequences/11/velodyne/000007.bin,126186,94250,1.0,126186,306694,19.4439,0.0,inf,0.5,126186,258317,16.3769,1.4947,92.5681,0.25,126186,210423,13.3405,4.49871,87.7828,0.125,126093,164170,10.4081,16.4957,82.1399,0.0625,123583,118899,7.538,64.4976,76.2182,0.03125,106152,75839,4.8081,256.152,70.2287,0.015625,74189,40726,2.582,1024.59,64.2081,0.0078125,40713,17401,1.1032,4044.5,58.245,0.00390625,17820,6396,0.4055,16429.2,52.1575,0.001953125,6687,2249,0.1426,63321.9,46.2981
../dataset/KITTI/dataset/sequences/11/velodyne/000008.bin,126012,93415,1.0,126012,306275,19.4442,0.0,inf,0.5,126012,257956,16.3766,1.50115,92.5494,0.25,126012,210150,13.3416,4.49566,87.7857,0.125,125912,163702,10.3928,16.5134,82.1353,0.0625,123351,118674,7.5341,64.1702,76.2403,0.03125,105738,75540,4.7957,256.903,70.2159,0.015625,73871,40600,2.5775,1019.08,64.2316,0.0078125,40648,17393,1.1042,4040.9,58.2489,0.00390625,17796,6426,0.408,16393.8,52.1669,0.001953125,6707,2212,0.1404,64823.7,46.1963
../dataset/KITTI/dataset/sequences/11/velodyne/000009.bin,125756,94062,1.0,125756,304879,19.395,0.0,inf,0.5,125756,256674,16.3284,1.49855,92.5569,0.25,125756,209092,13.3014,4.50638,87.7754,0.125,125619,162935,10.3652,16.5202,82.1335,0.0625,122889,117573,7.4794,64.4588,76.2208,0.03125,105237,74924,4.7663,256.791,70.2178,0.015625,73350,40172,2.5556,1021.39,64.2217,0.0078125,40443,17089,1.0871,4052.88,58.236,0.00390625,17555,6214,0.3953,16453.2,52.1511,0.001953125,6563,2160,0.1374,66069.3,46.1136
